acc_kmeans	recall_train	precision_train	f1_train	loss_value_train	accuracy_train	recall_test	precision_test	f1_test	loss_value_test	accuracy_test	NMI_t_t1	NMI_t_label	cluster_resign_num
0.6262567672080434	0.12176320910043406	0.5263668715626011	0.19777548167507444	0.704352617263794	0.48959783449342614	0.15346320346320347	0.9929971988795518	0.26584176977877766	0.6519720554351807	0.3943705536653263	0.5919700365440947	0.0756657796340572	2910.0
0.6885150812064965	0.9869031582098489	0.5693868739205526	0.7221400799518097	0.7385784387588501	0.6075792730085073	0.9848484848484849	0.7900677200902935	0.8767704017728105	0.5417768359184265	0.8021961026909991	0.8573386156253119	0.22281619709696301	533.0
0.6810518174787317	0.9991019308486754	0.5237142520889726	0.6872056211875531	0.7881718873977661	0.5300464037122969	0.9993506493506493	0.7246900015696123	0.8401419343098899	0.5901081562042236	0.728270955768636	0.5644808453968788	0.047977522752289524	3072.0
0.7043310131477185	0.999476126328394	0.5240954399183737	0.6876222840078261	0.7877627611160278	0.5307811291569993	0.9995670995670995	0.7250745799968598	0.8404768404768403	0.5897616744041443	0.7288895762449737	0.7507627330113958	0.051145966585489	1180.0
0.7164733178654292	0.999176769944619	0.5332507888325279	0.6953826922576108	0.7772464752197266	0.5476798143851508	0.9987012987012988	0.737531969309463	0.8484737035674881	0.5795432329177856	0.7451283637488401	0.8210537577984947	0.09962135567531383	687.0
0.7264114462490333	0.9979045053135758	0.5636624957727426	0.7204062888324599	0.7447879910469055	0.5997679814385151	0.996969696969697	0.7801490514905149	0.8753325731660966	0.54702228307724	0.7970924837612124	0.8883301488761537	0.23952113772058733	357.0
0.7275328692962104	0.9962580452028139	0.6010746376484399	0.7497817454729785	0.7094534039497375	0.6564191802010828	0.9937229437229437	0.8341206395348837	0.9069537732121691	0.510980486869812	0.854314877822456	0.9598326062926242	0.38383728338736517	93.0
0.7268754833720031	0.9926657685975153	0.6278816568047337	0.7692173862614898	0.6868022680282593	0.6922273781902553	0.9863636363636363	0.8699885452462772	0.9245283018867924	0.49072834849357605	0.8849365914011754	0.9610317076612719	0.4549426685706658	90.0
0.7287316318638825	0.9883251010327795	0.6443208430913349	0.7800815169236222	0.673961877822876	0.7120649651972157	0.9783549783549783	0.8950495049504951	0.9348500517063082	0.4784206748008728	0.9025672749768018	0.9484146149927034	0.49815586141253004	131.0
0.7287703016241299	0.9823379733572818	0.6530348258706468	0.7845317076086307	0.6675595641136169	0.7211910286156226	0.9681818181818181	0.9095160634404229	0.9379324806039001	0.473030149936676	0.9084441695020106	0.9350803020259477	0.5084473046331486	179.0
0.7298143851508121	0.9753030983385721	0.6582815578117897	0.7860309418257486	0.6639285683631897	0.7256380510440835	0.9597402597402598	0.9172527927182458	0.9380156547493124	0.47100573778152466	0.9093721002165172	0.9418934591309811	0.5075498258949541	160.0
0.729969064191802	0.9687172578955247	0.6613867456951612	0.7860808307776396	0.6619120836257935	0.7275715390564579	0.9567099567099567	0.9219858156028369	0.9390269810919906	0.46933478116989136	0.9112279616455304	0.9423209600197552	0.5135189825325764	162.0
0.7303557617942769	0.962730130220027	0.6630927835051547	0.7853000427324339	0.6609051823616028	0.7279969064191802	0.9512987012987013	0.9258479039393301	0.9384007686559197	0.46869367361068726	0.9107639962882771	0.9623932023784829	0.5112294165604346	97.0
0.7298530549110596	0.9589881754228409	0.6645576185043045	0.7850753584119592	0.6600090265274048	0.728692962103635	0.948051948051948	0.9271803556308214	0.9375	0.4688076972961426	0.9096814104546861	0.9759770979040945	0.5072596086615708	57.0
0.7291183294663574	0.9553958988175423	0.6647573422203708	0.7840078609592827	0.6599947810173035	0.7279969064191802	0.9454545454545454	0.9281767955801105	0.9367360068625349	0.46893730759620667	0.9087534797401794	0.9796494318343804	0.5040391035746666	47.0
0.7289249806651199	0.9533752432270618	0.6650482902636388	0.7835286158009658	0.6598638892173767	0.7278035576179428	0.9445887445887445	0.9289059174116645	0.936681691350075	0.468788743019104	0.9087534797401794	0.9873398636582066	0.5041697800267967	27.0
0.7287316318638825	0.9521029785960186	0.6654809855102788	0.7833985036485113	0.6596100330352783	0.7279582366589327	0.9435064935064935	0.9294243070362473	0.9364124597207305	0.4687947928905487	0.9084441695020106	0.9885760973911133	0.503190918338548	24.0
0.7286542923433875	0.9512797485406377	0.6655670750863965	0.7831792975970424	0.6595797538757324	0.7278422273781903	0.9428571428571428	0.9297758804695838	0.9362708221386351	0.46877917647361755	0.908289514382926	0.9951348306342134	0.5027341867873905	9.0
0.7287703016241299	0.9505313575812004	0.6656010900324913	0.782949081494267	0.659582793712616	0.7276875483372003	0.9424242424242424	0.9299444681759932	0.9361427649967748	0.46880078315734863	0.9081348592638416	0.9928471339129914	0.5022394359529092	14.0
0.728692962103635	0.9500074839095943	0.6656179539615122	0.7827829679647272	0.6595896482467651	0.7275715390564579	0.9417748917748918	0.930297199059226	0.9360008604926321	0.46878525614738464	0.9079802041447572	0.9987207213447062	0.50179914430527	2.0
0.728692962103635	0.9494836102379883	0.6657046909434359	0.7826650215916102	0.6595486402511597	0.7275328692962104	0.9409090909090909	0.930237534774235	0.9355428817389432	0.46902021765708923	0.9073615836684195	0.9956183426249517	0.4996578362746456	8.0
0.728538283062645	0.9491842538542135	0.6658092288309098	0.7826355249760885	0.6594875454902649	0.7275715390564579	0.9409090909090909	0.9304366438356164	0.9356435643564356	0.46892431378364563	0.9075162387875039	0.9981626101272947	0.5002458915608551	3.0
0.7284996133023975	0.9493339320461008	0.6658443126345074	0.7827106407922747	0.6594581007957458	0.7276488785769528	0.9406926406926407	0.9304217512309998	0.9355290065654934	0.46898308396339417	0.9073615836684195	0.998721423372698	0.49971290584650946	2.0
0.7284996133023975	0.9491094147582697	0.66586159823585	0.7826462601826709	0.6594542264938354	0.7276102088167054	0.9404761904761905	0.930406852248394	0.9354144241119483	0.4690418541431427	0.9072069285493349	1.0	0.49918091161862166	0.0
0.7284996133023975	0.9491094147582697	0.66586159823585	0.7826462601826709	0.6594542264938354	0.7276102088167054	0.9404761904761905	0.930406852248394	0.9354144241119483	0.4690418541431427	0.9072069285493349	0.9976259731558228	0.49918091161862166	4.0
0.7284222737819026	0.949034575662326	0.6658440535573641	0.7826086956521737	0.659468948841095	0.7275715390564579	0.9404761904761905	0.9306061255086743	0.93551512541716	0.4689459502696991	0.9073615836684195	0.9993146332872761	0.49976932675967506	1.0
0.728383604021655	0.949034575662326	0.6658090937729707	0.7825845470254259	0.6594929695129395	0.7275328692962104	0.9404761904761905	0.9308054841473865	0.9356158484065461	0.4688500463962555	0.9075162387875039	0.9993146752952271	0.5003584190855412	1.0
0.7284222737819026	0.9491094147582697	0.6658266393657793	0.7826221111419668	0.6594781875610352	0.7275715390564579	0.9406926406926407	0.9308203041336475	0.9357304338464851	0.46879130601882935	0.9076708939065883	0.9951404043161747	0.500890728174891	9.0
0.728383604021655	0.9492590929501572	0.6658267716535433	0.7826730840429471	0.6594728231430054	0.7276102088167054	0.9406926406926407	0.9308203041336475	0.9357304338464851	0.46879130601882935	0.9076708939065883	0.9981611566313286	0.500890728174891	3.0
0.7284222737819026	0.949034575662326	0.6658790170132325	0.782632845769302	0.6594449281692505	0.7276102088167054	0.9406926406926407	0.9308203041336475	0.9357304338464851	0.46879127621650696	0.9076708939065883	0.9976239542147639	0.500890728174891	4.0
0.7285769528228925	0.9489597365663823	0.6658614714068162	0.7825952785064033	0.65945965051651	0.7275715390564579	0.9406926406926407	0.9308203041336475	0.9357304338464851	0.46879130601882935	0.9076708939065883	0.9993140015287141	0.500890728174891	1.0
0.728538283062645	0.9489597365663823	0.6658614714068162	0.7825952785064033	0.65945965051651	0.7275715390564579	0.9406926406926407	0.9310197086546701	0.9358311800172265	0.46869540214538574	0.9078255490256727	0.9993140015287141	0.5014806573590195	1.0
0.7285769528228925	0.9488100583744948	0.6658263746651961	0.7825201370243496	0.6594890356063843	0.7274941995359628	0.9406926406926407	0.9310197086546701	0.9358311800172265	0.46869540214538574	0.9078255490256727	0.9993140015287141	0.5014806573590195	1.0
0.7286156225831399	0.9488100583744948	0.6657914084654973	0.7824959881496112	0.6595130562782288	0.7274555297757154	0.9404761904761905	0.9310049282194129	0.9357165930871111	0.4687541425228119	0.9076708939065883	0.9976232309421699	0.5009481909454847	4.0
0.728538283062645	0.9486603801826073	0.6657912705499238	0.7824449862658559	0.6595183610916138	0.7274168600154679	0.9404761904761905	0.9310049282194129	0.9357165930871111	0.4687541127204895	0.9076708939065883	0.9971030991621637	0.5009481909454847	5.0
0.7286542923433875	0.9486603801826073	0.6657213381650123	0.782396691664352	0.6595664024353027	0.727339520494973	0.9406926406926407	0.9310197086546701	0.9358311800172265	0.46869540214538574	0.9078255490256727	0.9965961412030506	0.5014806573590195	6.0
0.7286542923433875	0.9485855410866637	0.6657387467829192	0.7823832597759328	0.659557044506073	0.727339520494973	0.9406926406926407	0.9310197086546701	0.9358311800172265	0.46869540214538574	0.9078255490256727	0.99931379025774	0.5014806573590195	1.0
0.7286156225831399	0.9485855410866637	0.6657387467829192	0.7823832597759328	0.659557044506073	0.727339520494973	0.9406926406926407	0.9310197086546701	0.9358311800172265	0.46869537234306335	0.9078255490256727	0.9987194682236546	0.5014806573590195	2.0
0.7286156225831399	0.9486603801826073	0.6657563025210084	0.782420838219863	0.6595423817634583	0.7273781902552204	0.9406926406926407	0.9310197086546701	0.9358311800172265	0.46869537234306335	0.9078255490256727	1.0	0.5014806573590195	0.0
0.7286156225831399	0.9486603801826073	0.6657912705499238	0.7824449862658559	0.6595184206962585	0.7274168600154679	0.9406926406926407	0.9310197086546701	0.9358311800172265	0.46869540214538574	0.9078255490256727	1.0	0.5014806573590195	0.0
